Site,Treatment,N Rows,totalB,richB,div_hB,Treat2,abundS,richS,div_hS,richP,abundP,div_hP,plantnum,bird.rich.percap,Acnistus_arborescens,Capsicum_baccatum,Casearia_sylvestris,Trema_micrantha,total.pulp.mass.avg.,Grass,phylo_rank,spp_rich_treat,total.visits_selected,rich_selected,div_H_selected,PD
05PF1,CapBac,60,16,4,1.213007566,Intra,145,8,1.5252098982,3,3,1.0986122887,24,0.1666666667,,503.84615385,,,70.437692308,20,1,1,14,3,0.9556998911,0
05PF1,CapBac&CasDec,120,15,6,1.5821699429,Hetero.diff,109,6,1.0292166472,0,0,0,12,0.5,,176.33333333,,,24.6514,42,3,2,15,6,1.5821699429,0.270719892
05PF1,CapBac&CasSyl,120,6,5,1.560710409,Hetero.diff,78,9,1.7455993748,2,7,0.4101163183,12,0.4166666667,,248.18181818,100,,36.555818182,50,3,2,6,5,1.560710409,0.267733558
05PF1,CapBac&CelIgu,120,8,3,0.9002560513,Hetero.diff,233,16,1.9640960336,0,0,0,12,0.25,,413.84615385,,,57.855692308,60,3,2,6,2,0.4505612089,0.265064061
05PF1,CapBac&TreMic,120,17,9,2.0685134974,Hetero.diff,171,13,1.8935830229,1,1,0,12,0.75,,453.57142857,,343.07692308,70.728260073,17,3,2,15,8,1.9338099989,0.2643121
05PF1,CasDec,60,3,3,1.0986122887,Intra,34,5,1.4120711947,0,0,0,24,0.125,,,,,0,80,1,1,2,2,0.6931471806,0
05PF1,CasDec&CasSyl,30,4,3,1.0397207708,Hetero.same,31,4,0.7499625679,0,0,0,12,0.25,,,,,0,80,2,2,1,1,0,0.141899453
05PF1,CasDec&CelIgu,120,4,3,1.0397207708,Hetero.diff,0,0,0,1,1,0,12,0.25,,,,,0,40,3,2,3,2,0.6365141683,0.244484426
05PF1,CasDec&TreMic,120,15,8,1.9913464134,Hetero.diff,178,9,1.3867721894,1,3,0,12,0.6666666667,,,,434.61538462,9.2717948718,25,3,2,14,7,1.8711604142,0.243732464
05PF1,CasSyl,60,14,4,1.3337360272,Intra,71,4,1.1497681658,0,0,0,24,0.1666666667,,,,,0,70,1,1,7,2,0.6829081047,0
05PF1,CasSyl&CelIgu,120,2,2,0.6931471806,Hetero.diff,18,4,1.2110440168,0,0,0,12,0.1666666667,,,55,,1.023,65,3,2,1,1,0,0.241498092
05PF1,CasSyl&TreMic,120,12,5,1.5454229032,Hetero.diff,91,8,1.3995331333,3,8,0.7356219398,12,0.4166666667,,,,358.57142857,7.6495238095,20,3,2,12,5,1.5454229032,0.24074613
05PF1,CelIgu,60,1,1,0,Intra,89,7,1.2088388021,1,1,0,24,0.0416666667,,,,,0,30,1,1,1,1,0,0
05PF1,CelIgu&TreMic,30,11,6,1.6726254462,Hetero.same,281,7,0.8362761198,2,6,0.4505612089,12,0.5,,,,407.14285714,8.6857142857,25,2,2,10,5,1.5047882837,0.166769626
05PF1,TreMic,60,25,7,1.7545956432,Intra,108,12,1.4197917193,3,4,1.0397207708,24,0.2916666667,,,,359.33333333,7.6657777778,22,1,1,25,7,1.7545956432,0
06PF2,AcnArb,60,13,7,1.8446214764,Intra,90,7,1.3992415479,0,0,0,24,0.2916666667,191,,,,58.414166667,70,1,1,12,6,1.7045514453,0
06PF2,AcnArb&CapBac,30,16,11,2.3066687254,Hetero.same,40,4,0.7220931095,0,0,0,12,0.9166666667,166.25,403.63636364,,,107.2731553,40,2,2,15,10,2.2110688711,0.143088167
06PF2,AcnArb&CasDec,120,12,4,0.9830877586,Hetero.diff,28,3,0.7872876566,1,2,0,12,0.3333333333,161.42857143,,,,49.370238095,70,3,2,12,4,0.9830877586,0.260444172
06PF2,AcnArb&CasSyl,120,8,7,1.9061547465,Hetero.diff,183,7,1.1557979303,1,1,0,12,0.5833333333,77.125,,50,,24.517395833,20,3,2,8,7,1.9061547465,0.257457838
06PF2,AcnArb&CelIgu,120,10,6,1.6957425342,Hetero.diff,22,6,1.4265780017,1,1,0,12,0.5,268.375,,,,82.078020833,35,3,2,10,6,1.6957425342,0.254788341
06PF2,AcnArb&TreMic,120,12,6,1.6326309272,Hetero.diff,37,8,1.0143148043,2,2,0.6931471806,12,0.5,120,,,401.46666667,45.264622222,4,3,2,8,5,1.4941751383,0.25403638
06PF2,All,10,20,10,2.1809455606,Hetero.All,109,13,1.4644734007,3,5,0.9502705392,4,2.5,88.222222222,733.63636364,140,297.77777778,138.50025253,10,6,6,19,9,2.086768755,0.431177611
06PF2,CapBac,60,12,7,1.6987829895,Intra,33,5,0.9592950803,1,1,0,24,0.2916666667,,334.16666667,,,46.7165,40,1,1,12,7,1.6987829895,0
06PF2,CapBac&CasDec,120,3,3,1.0986122887,Hetero.diff,122,6,1.1089010424,0,0,0,12,0.25,,319,,,44.5962,50,3,2,3,3,1.0986122887,0.270719892
06PF2,CapBac&CasSyl,120,28,11,2.195538517,Hetero.diff,28,9,1.836534599,1,1,0,12,0.9166666667,,383.33333333,,,53.59,20,3,2,25,9,2.001261687,0.267733558
06PF2,CapBac&CelIgu,120,23,7,1.8852995009,Hetero.diff,149,9,1.1125905342,2,2,0.6931471806,12,0.5833333333,,418.46153846,,,58.500923077,30,3,2,23,7,1.8852995009,0.265064061
06PF2,CapBac&TreMic,120,51,15,2.5231230398,Hetero.diff,171,12,1.150057912,5,5,1.6094379124,12,1.25,,277.66666667,,428.57142857,47.960657143,4,3,2,47,14,2.4395379252,0.2643121
06PF2,CasDec,60,3,2,0.6365141683,Intra,88,4,0.2321674342,1,1,0,24,0.0833333333,,,,,0,20,1,1,3,2,0.6365141683,0
06PF2,CasDec&CasSyl,30,3,2,0.6365141683,Hetero.same,4,2,0.5623351446,1,1,0,12,0.1666666667,,,70,,1.302,5,2,2,3,2,0.6365141683,0.141899453
06PF2,CasDec&CelIgu,120,4,3,1.0397207708,Hetero.diff,0,0,0,1,1,0,12,0.25,,,,,0,15,3,2,4,3,1.0397207708,0.244484426
06PF2,CasDec&TreMic,120,14,9,2.0075563074,Hetero.diff,66,16,2.2063129293,3,3,1.0986122887,12,0.75,,,,652.85714286,13.927619048,10,3,2,10,7,1.7480673485,0.243732464
06PF2,CasSyl,60,6,4,1.2424533249,Intra,6,3,0.8675632285,1,1,0,24,0.1666666667,,,300,,5.58,8,1,1,6,4,1.2424533249,0
06PF2,CasSyl&CelIgu,120,10,6,1.4978661368,Hetero.diff,206,7,1.382470653,0,0,0,12,0.5,,,200,,3.72,10,3,2,9,5,1.3030924038,0.241498092
06PF2,CasSyl&TreMic,120,32,12,2.2651633547,Hetero.diff,133,10,1.2531957475,3,3,1.0986122887,12,1,,,100,882,20.676,3,3,2,28,10,2.0778300575,0.24074613
06PF2,CelIgu,60,14,4,1.028513764,Intra,132,9,1.2910891175,1,1,0,24,0.1666666667,,,,,0,25,1,1,10,2,0.3250829734,0
06PF2,CelIgu&TreMic,30,23,5,1.0827800095,Hetero.same,137,12,0.8837192717,0,0,0,12,0.4166666667,,,,314.54545455,6.7103030303,15,2,2,23,5,1.0827800095,0.166769626
06PF2,TreMic,60,43,13,2.0747670391,Intra,32,6,1.1708049338,1,1,0,24,0.5416666667,,,,473.33333333,10.097777778,12,1,1,40,10,1.8759638968,0
07ZM,AcnArb,60,14,8,1.8662160236,Intra,61,3,0.7517086548,11,12,2.3693821197,24,0.3333333333,226.875,,,,69.3859375,10,1,1,13,7,1.7326587202,0
07ZM,AcnArb&CapBac,30,24,11,2.3039761017,Hetero.same,257,12,1.1269817186,5,10,1.3592367007,12,0.9166666667,154.33333333,272.78571429,,,85.335720635,5,2,2,20,9,2.0854684353,0.143088167
07ZM,AcnArb&CasDec,120,7,5,1.5498260459,Hetero.diff,148,9,1.2131712512,2,2,0.6931471806,12,0.4166666667,225.625,,,,69.003645833,10,3,2,7,5,1.5498260459,0.260444172
07ZM,AcnArb&CasSyl,120,24,7,1.6903931922,Hetero.diff,134,11,1.6524871568,2,8,0.5623351446,12,0.5833333333,148.33333333,,123.33333333,,47.659277778,10,3,2,20,6,1.48779838,0.257457838
07ZM,AcnArb&CelIgu,120,13,6,1.5857708352,Hetero.diff,212,11,1.1414342083,1,1,0,12,0.5,233.76923077,,,,71.494423077,1,3,2,13,6,1.5857708352,0.254788341
07ZM,AcnArb&TreMic,120,18,10,2.2161022481,Hetero.diff,43,10,1.6563293029,5,10,1.2275294115,12,0.8333333333,160.625,,,406.66666667,57.800034722,20,3,2,12,7,1.8636799873,0.25403638
07ZM,All,10,5,3,1.054920168,Hetero.All,38,5,1.1104394271,4,4,1.3862943611,4,0.75,86.166666667,146,206.66666667,185.45454545,54.563802525,5,6,6,5,3,1.054920168,0.431177611
07ZM,CapBac,60,42,11,2.2063604112,Intra,170,7,0.813559142,6,17,1.4868952269,24,0.4583333333,,352.1875,,,49.2358125,40,1,1,37,9,1.9992191161,0
