Site,Date,Weather,Temperature,Time,Treatment,Plant,Position,Plant_Species,Height(meters),0(percent herbivory),less10(percent herbivory),10to50(percent herbivory),>greater50(percent herbivory),100(percent herbivory),herb_leaves,total_leaves,Stress,Total_Herbivory,Herbivory_not_including_100,Herbiv.AT,Plot_Classification,Intra_dens,phylo_dist
1JM1,31-May,partly cloudy,69,15:10,All,1,Outside,CelIgu,0.7,10,12,3,3,5,23,33,No,0.283333333,0.155357143,0.155357143,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,2,Outside,CasSyl,0.6,0,0,0,0,15,15,15,Yes,1,0,0,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,2,Outside,CasSyl,0.6,0,0,0,0,11,11,11,Yes,1,0,0,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,2,Outside,CasSyl,0.6,0,0,0,0,32,32,32,Yes,1,0,0,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,3,Outside,AcnArb,1.3,3,4,1,1,49,55,58,No,0.869827586,0.161111111,0.869827586,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,3,Outside,AcnArb,1.3,0,0,0,0,0,0,0,No,0,0,0,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,3,Outside,AcnArb,1.3,0,0,0,0,0,0,0,No,0,0,0,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,4,Outside,TreMic,0.9,0,0,0,0,13,13,13,Yes,1,0,1,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,4,Outside,TreMic,0.9,0,0,0,0,13,13,13,Yes,1,0,1,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,4,Outside,TreMic,0.9,0,0,0,0,12,12,12,Yes,1,0,1,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,5,Outside,CasDec,0.5,0,0,0,0,14,14,14,Yes,1,0,0,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,5,Outside,CasDec,0.5,0,0,0,0,20,20,20,Yes,1,0,0,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,5,Outside,CasDec,0.5,0,0,0,0,12,12,12,Yes,1,0,0,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,6,Outside,AcnArb,2.1,0,0,0,0,38,38,38,Yes,1,0,1,Hetero.All,4,460.6
1JM1,31-May,partly cloudy,69,15:10,All,6,Outside,AcnArb,2.1,0,0,0,0,46,46,46,Yes,1,0,1,Hetero.All,4,460.6
