Site,Treatment,N Rows,totalB,richB,div_hB,Treat2,abundS,richS,div_hS,richP,abundP,div_hP,plantnum,bird.rich.percap,Acnistus_arborescens,Capsicum_baccatum,Casearia_sylvestris,Trema_micrantha,total.pulp.mass.avg.,Grass,phylo_rank,spp_rich_treat,total.visits_selected,rich_selected,div_H_selected,bird_degree,visits.x.degree,bird_degree 2,visits.x.degree 2,PD
02JM2,CasDec&TreMic,12,28,11,1.9960601285715,Hetero.diff,91,10,1.2796976676102,5,12,1.3579778549873,12,0.9166666667,,,,352,7.5093333333,3,3,2,25,8,1.7223941175,18.9,28.083333333,227,337,0.243732464
02JM2,CasSyl,3,4,3,1.0397207708399,Intra,144,9,0.9768962131811,3,3,1.0986122886681,24,0.125,,,900,,16.74,15,1,1,3,2,0.6365141683,8.0,8,24,24,0
02JM2,CasSyl&CelIgu,5,7,5,1.4750763110547,Hetero.diff,240,9,1.4286953424799,4,4,1.3862943611199,12,0.4166666667,,,188,,3.4968,10,3,2,2,2,0.6931471806,6.6,6.6,33,33,0.241498092
02JM2,CasSyl&TreMic,17,60,16,2.2857029834386,Hetero.diff,252,23,2.0837782675013,11,24,2.1666495656406,12,1.3333333333,,,200,516.42857143,14.737142857,1,3,2,54,14,2.1014503244,17.1,31.647058824,291,538,0.24074613
02JM2,CelIgu,2,4,2,0.5623351446188,Intra,24,3,0.5442837329694,2,5,0.5004024235382,24,0.0833333333,,,,,0,30,1,1,4,2,0.5623351446,11.5,11.5,23,23,0
02JM2,CelIgu&TreMic,5,26,5,1.5324518213189,Hetero.same,347,17,1.8448150116412,7,26,1.7238719047275,12,0.4166666667,,,,411.66666667,8.7822222222,10,2,2,26,5,1.5324518213,18.2,26,91,130,0.166769626
02JM2,Control,4,6,4,1.242453324894,Control,86,7,0.82677393723,3,4,1.0397207708399,0,,,,,,,,0,0,2,2,0.6931471806,5.3,5.25,21,21,
02JM2,TreMic,15,43,14,2.2261993799787,Intra,319,16,1.4469291100724,5,14,1.2963611597911,24,0.5833333333,,,,380.55555556,8.1185185185,10,1,1,35,10,1.8675320663,13.3,21.533333333,200,323,0
03SS,AcnArb,5,6,5,1.5607104090414,Intra,15,5,1.0805738483649,1,1,0,24,0.2083333333,381.25,,,,116.59895833,31,1,1,6,5,1.560710409,28.2,30.2,141,151,0
03SS,AcnArb&CapBac,7,9,7,1.889159163754,Hetero.same,55,6,1.5712830881383,3,3,1.0986122886681,12,0.5833333333,140,412.22222222,,,100.44533333,40,2,2,9,7,1.8891591638,18.9,24.285714286,132,170,0.143088167
03SS,AcnArb&CasDec,8,12,8,2.0228085294147,Hetero.diff,131,4,0.5580666499465,6,11,1.5403058252265,12,0.6666666667,260.41666667,,,,79.644097222,40,3,2,12,8,2.0228085294,20.4,27.625,163,221,0.260444172
03SS,AcnArb&CasSyl,4,10,4,1.2798542258337,Hetero.diff,15,5,1.3953970923268,4,7,1.3517839942897,12,0.3333333333,353.75,,300,,113.76854167,50,3,2,10,4,1.2798542258,24.0,67,96,268,0.257457838
03SS,AcnArb&CelIgu,2,2,2,0.6931471805599,Hetero.diff,151,5,0.9214769127045,1,7,0,12,0.1666666667,258.75,,,,79.134375,20,3,2,2,2,0.6931471806,22.0,22,44,44,0.254788341
03SS,AcnArb&TreMic,9,17,8,1.9561874676605,Hetero.diff,73,6,0.6522896822356,0,0,0,12,0.6666666667,447,,,423.57142857,145.74369048,30,3,2,14,7,1.8095142558,20.9,27.222222222,188,245,0.25403638
03SS,All,14,22,14,2.5001380263654,Hetero.All,56,8,1.3293795365723,4,10,1.0888999753452,4,3.5,255,249.25,57.5,372,121.83815,10,6,6,14,10,2.205598359,17.4,23.857142857,243,334,0.431177611
03SS,CapBac,10,21,8,1.7897275885481,Intra,94,8,1.4757925852021,9,49,1.0892805440057,24,0.3333333333,,1077.6111111,,,150.65003333,10,1,1,19,7,1.6305233228,17.8,19.7,178,197,0
03SS,CapBac&CasDec,2,4,1,0,Hetero.diff,215,10,1.4233997924587,9,22,1.512377180262,12,0.0833333333,,462,,,64.5876,15,3,2,4,1,0,11.5,20.5,23,41,0.270719892
03SS,CapBac&CasSyl,5,9,5,1.4648163848908,Hetero.diff,164,7,1.071374929775,3,10,0.6390318596502,12,0.4166666667,,357.14285714,186.66666667,,53.400571429,35,3,2,9,5,1.4648163849,17.0,17,85,85,0.267733558
