Site,Treatment,Treat2,Plot,plant_sp,N Rows,Grass,Height.avg,Diameter,Fruit.number,Fruit.per.ind,Visits,Visits.per.ind,n.seeds_avg,sum.seeds,seeds.per.ind,Div_treat,logHeight,LogDiam,root_grass,log_fruit_percapita
02JM2,AcnArb&CelIgu,Hetero.diff,8,Acnistus_arborescens,4,45,291.6666667,87.4725,182.2222222,15.18518519,6,0.5,2.882352941,49,4.083333333,2,5.679034305,4.482691769,6.708203932,2.784096329
02JM2,AcnArb&CelIgu,Hetero.diff,8,Celtis_iguanaea,4,45,121.3333333,39.46,0,0,0,0,0,0,0,2,4.806749559,3.700313832,6.708203932,0
02JM2,AcnArb&TreMic,Hetero.diff,13,Acnistus_arborescens,4,2,226.6666667,84.2125,143.3333333,11.94444444,2,0.166666667,17,51,4.25,2,5.427882571,4.445148137,1.414213562,2.560666696
02JM2,AcnArb&TreMic,Hetero.diff,13,Trema_micrantha,4,2,435,56.68,498,41.5,14,1.166666667,6.923076923,90,7.5,2,6.077642243,4.054910493,1.414213562,3.749504076
02JM2,All,Hetero.All,2,Acnistus_arborescens,4,5,282,187.0575,198.75,49.6875,4,1,17.85714286,125,31.25,6,5.645446898,5.236747767,2.236067977,3.925679332
02JM2,All,Hetero.All,2,Capsicum_baccatum,4,5,125,38.79,283.6363636,70.90909091,0,0,48.71428571,341,85.25,6,4.836281907,3.683615624,2.236067977,4.275402695
02JM2,All,Hetero.All,2,Casearia_sylvestris,4,5,112,36.845,115,28.75,0,0,0,0,0,6,4.727387819,3.633498871,2.236067977,3.392829132
02JM2,All,Hetero.All,2,Celtis_iguanaea,4,5,147.3333333,56.8225,0,0,0,0,0,0,0,6,4.999461993,4.057377973,2.236067977,0
02JM2,All,Hetero.All,2,Trema_micrantha,0,5,227,0,305,76.25,6,1.5,10.8,54,13.5,6,5.429345629,0,2.236067977,4.347046916
02JM2,CapBac,Intra,7,Capsicum_baccatum,4,2,169.3333333,39.205,595,24.79166667,11,0.458333333,23.42857143,328,13.66666667,1,5.137757301,3.693991366,1.414213562,3.250051442
02JM2,CapBac&CasDec,Hetero.diff,10,Capsicum_baccatum,4,10,159.6666667,44.3225,373.0769231,31.08974359,4,0.333333333,25.5625,409,34.08333333,2,5.079331826,3.813803598,3.16227766,3.468536465
02JM2,CapBac&CasSyl,Hetero.diff,22,Capsicum_baccatum,4,15,138,40.42,471.4166667,39.28472222,4,0.333333333,20.07142857,281,23.41666667,2,4.934473933,3.723763856,3.872983346,3.695972296
02JM2,CapBac&CasSyl,Hetero.diff,22,Casearia_sylvestris,4,15,166.6666667,47.425,320,26.66666667,0,0,2,4,0.333333333,2,5.121977882,3.880016209,3.872983346,3.320228319
