Site,Treatment,Treat2,Plot,plant_sp,N Rows,Grass,Height.avg,Diameter,Fruit.number,Fruit.per.ind,Visits,Visits.per.ind,n.seeds_avg,sum.seeds,seeds.per.ind,Div_treat,logHeight,LogDiam,root_grass,log_fruit_percapita,het_treat
02JM2,CapBac&CelIgu,Hetero.diff,5,Capsicum_baccatum,200,15,124,39.205,420,35,6,0.5,76.833333333333,1383,115.25,2,4.8283137373,3.693991366,3.8729833462,3.5835189385,3
02JM2,CapBac&CelIgu,Hetero.diff,5,Celtis_iguanaea,200,15,163.66667,31.2075,20,1.6666666666667,0,0,0,0,0,2,5.1039232287,3.4721993447,3.8729833462,0.980829253,3
02JM2,CapBac&TreMic,Hetero.diff,3,Capsicum_baccatum,200,5,125.33333,27.86,285.73333333333,23.811111111111,0,0,22.235294117647,378,31.5,2,4.8389239162,3.3624565533,2.2360679775,3.2112915815,3
02JM2,CapBac&TreMic,Hetero.diff,3,Trema_micrantha,200,5,322,67.81,444.16666666667,37.013888888889,13,1.0833333333333,25.642857142857,359,29.916666666667,2,5.7776523232,4.2313490832,2.2360679775,3.63795159,3
02JM2,CasDec&CasSyl,Hetero.same,14,Casearia_sylvestris,50,40,145.33333,61.315,500,41.666666666667,1,0.0833333333333,15.928571428571,223,18.583333333333,2,4.9858871242,4.1322021673,6.3245553203,3.7534179753,2
02JM2,CasDec&CelIgu,Hetero.diff,12,Celtis_iguanaea,200,30,234.66667,54.2525,50,4.1666666666667,1,0.0833333333333,1,2,0.1666666666667,2,5.4624183774,4.0119135882,5.4772255751,1.6422277353,3
02JM2,CasDec&TreMic,Hetero.diff,15,Trema_micrantha,200,3,409.66667,61.8975,352,29.333333333333,9,0.75,17.8125,285,23.75,2,6.0177818555,4.1415064173,1.7320508076,3.4122472178,3
02JM2,CasSyl,Intra,16,Casearia_sylvestris,50,15,167,51.3525,900,37.5,2,0.0833333333333,9.5333333333333,143,5.9583333333333,1,5.1239639794,3.9579996917,3.8729833462,3.6506582413,1
02JM2,CasSyl&CelIgu,Hetero.diff,4,Casearia_sylvestris,200,10,129,32.7575,188,15.666666666667,0,0,17.142857142857,240,20,2,4.8675344505,3.5192026149,3.1622776602,2.8134107168,3
02JM2,CasSyl&CelIgu,Hetero.diff,4,Celtis_iguanaea,200,10,225,47.8125,40,3.3333333333333,0,0,0,0,0,2,5.4205349993,3.8879864276,3.1622776602,1.4663370688,3
02JM2,CasSyl&TreMic,Hetero.diff,20,Casearia_sylvestris,200,1,84,24.4925,200,16.666666666667,0,0,18,18,1.5,2,4.4426512565,3.2383842913,1,2.8716796249,3
02JM2,CasSyl&TreMic,Hetero.diff,20,Trema_micrantha,200,1,391.33333,73.2425,516.42857142857,43.035714285714,9,0.75,26.294117647059,447,37.25,2,5.9721118185,4.3073367625,1,3.785000993,3
02JM2,CelIgu,Intra,11,Celtis_iguanaea,50,30,245.66667,43.9225,80,3.3333333333333,0,0,2,24,1,1,5.5080378977,3.8049387828,5.4772255751,1.4663370688,1
02JM2,CelIgu&TreMic,Hetero.same,21,Celtis_iguanaea,50,10,188.33333,19.5975,0,0,0,0,0,0,0,2,5.2435091299,3.0251697092,3.1622776602,0,2
02JM2,CelIgu&TreMic,Hetero.same,21,Trema_micrantha,50,10,326.66667,72.97,411.66666666667,34.305555555556,9,0.75,46.85,937,78.083333333333,2,5.7919968316,4.3036596056,3.1622776602,3.5640403327,2
02JM2,TreMic,Intra,9,Trema_micrantha,50,10,351.33333,36.00375,380.55555555556,15.856481481482,20,0.8333333333333,18.368421052632,349,14.541666666667,1,5.8645776971,3.6110192589,3.1622776602,2.8247352405,1
03SS,AcnArb,Intra,1,Acnistus_arborescens,50,31,242,109.8475,381.25,15.885416666667,6,0.25,6.5384615384615,85,3.5416666666667,1,5.4930614433,4.7081553828,5.5677643628,2.8264503303,1
03SS,AcnArb&CapBac,Hetero.same,19,Acnistus_arborescens,50,40,251,72.1275,140,11.666666666667,1,0.0833333333333,10.7,107,8.9166666666667,2,5.5294290875,4.292204493,6.3245553203,2.5389738711,2
03SS,AcnArb&CapBac,Hetero.same,19,Capsicum_baccatum,50,40,124.33333,47.5825,412.22222222222,34.351851851852,2,0.1666666666667,22.875,183,15.25,2,4.8309768545,3.8832633838,6.3245553203,3.5653507772,2
03SS,AcnArb&CasDec,Hetero.diff,14,Acnistus_arborescens,200,40,243.33333,105.325,260.41666666667,21.701388888889,8,0.6666666666667,15.5,186,15.5,2,5.4985334131,4.6665004411,6.3245553203,3.1224261071,3
03SS,AcnArb&CasSyl,Hetero.diff,15,Acnistus_arborescens,200,50,288.66667,132.5775,353.75,29.479166666667,8,0.6666666666667,1.7777777777778,16,1.3333333333333,2,5.6687308367,4.8946818337,7.0710678119,3.4170433901,3
03SS,AcnArb&CasSyl,Hetero.diff,15,Casearia_sylvestris,200,50,127,40.64,300,25,0,0,6,18,1.5,2,4.8520302639,3.7290612437,7.0710678119,3.258096538,3
03SS,AcnArb&CelIgu,Hetero.diff,8,Acnistus_arborescens,200,20,220.66667,117.4625,258.75,21.5625,3,0.25,15.909090909091,175,14.583333333333,2,5.4011747521,4.7745964548,4.472135955,3.1162892361,3
03SS,AcnArb&CelIgu,Hetero.diff,8,Celtis_iguanaea,200,20,146.33333,46.3725,0,0,0,0,0,0,0,2,4.9926975932,3.8580418916,4.472135955,0,3
03SS,AcnArb&TreMic,Hetero.diff,4,Acnistus_arborescens,200,30,206.66667,90.41,447,37.25,2,0.1666666666667,3.625,29,2.4166666666667,2,5.3359342303,4.5153548817,5.4772255751,3.6441435603,3
03SS,AcnArb&TreMic,Hetero.diff,4,Trema_micrantha,200,30,242.66667,213.54,423.57142857143,35.297619047619,9,0.75,7,49,4.0833333333333,2,5.4958011712,5.3684962012,5.4772255751,3.5917521481,3
03SS,All,Hetero.All,22,Acnistus_arborescens,50,10,259.33333,145.1925,255,63.75,1,0.25,0,0,0,6,5.561962861,4.9849242464,3.1622776602,4.1705337006,6
03SS,All,Hetero.All,22,Capsicum_baccatum,50,10,160,62.643333,249.25,62.3125,4,1,15.222222222222,137,34.25,6,5.081404365,4.1532945801,3.1622776602,4.148082782,6
03SS,All,Hetero.All,22,Casearia_sylvestris,50,10,110.33333,58.466667,57.5,14.375,0,0,0,0,0,6,4.712528704,4.0854159315,3.1622776602,2.7327428137,6
03SS,All,Hetero.All,22,Celtis_iguanaea,50,10,77.333333,15.433333,0,0,1,0.25,0,0,0,6,4.3609732254,2.7993117924,3.1622776602,0,6
03SS,All,Hetero.All,22,Trema_micrantha,50,10,254.33333,90.52,372,93,12,3,17.272727272727,190,47.5,6,5.5425698809,4.5165575276,3.1622776602,4.5432947823,6
03SS,CapBac,Intra,10,Capsicum_baccatum,50,10,169.66667,39.29,1077.6111111111,44.900462962963,15,0.625,82.1875,1315,54.791666666667,1,5.1397123366,3.6961032992,3.1622776602,3.8264752034,1
03SS,CapBac&CasDec,Hetero.diff,7,Capsicum_baccatum,200,15,163,61.395,462,38.5,5,0.4166666666667,58,928,77.333333333333,2,5.0998664278,4.133485144,3.8729833462,3.6763006719,3
03SS,CapBac&CasSyl,Hetero.diff,12,Capsicum_baccatum,200,35,162.66667,44.745,357.14285714286,29.761904761905,3,0.25,43.538461538462,566,47.166666666667,2,5.0978318393,3.8230824961,5.9160797831,3.4262770661,3
03SS,CapBac&CasSyl,Hetero.diff,12,Casearia_sylvestris,200,35,111.66667,35.765,186.66666666667,15.555555555556,0,0,25,50,4.1666666666667,2,4.7244336071,3.6045463056,5.9160797831,2.8067217286,3
03SS,CapBac&CelIgu,Hetero.diff,9,Capsicum_baccatum,200,20,166,54.4325,535.66666666667,44.638888888889,6,0.5,57.625,922,76.833333333333,2,5.1179938124,4.0151660643,4.472135955,3.8207601796,3
03SS,CapBac&CelIgu,Hetero.diff,9,Celtis_iguanaea,200,20,255.66667,32.55,90,7.5,2,0.1666666666667,0,0,0,2,5.5477782263,3.5130368634,4.472135955,2.1400661635,3
03SS,CapBac&TreMic,Hetero.diff,6,Capsicum_baccatum,200,10,160.33333,28.275,257.27272727273,21.439393939394,3,0.25,45.25,181,15.083333333333,2,5.0834726178,3.3767339095,3.1622776602,3.1108180722,3
03SS,CapBac&TreMic,Hetero.diff,6,Trema_micrantha,200,10,326.66667,57.355,457.85714285714,38.154761904762,15,1.25,34.461538461539,448,37.333333333333,2,5.7919968316,4.0665450449,3.1622776602,3.6675220473,3
03SS,CasDec&CasSyl,Hetero.same,21,Casearia_sylvestris,50,40,143.33333,62.2225,213.33333333333,17.777777777778,0,0,1,8,0.6666666666667,2,4.9721254391,4.1466602505,6.3245553203,2.9326741376,2
03SS,CasDec&CelIgu,Hetero.diff,13,Celtis_iguanaea,200,60,160,47.705,0,0,0,0,0,0,0,2,5.081404365,3.8857816942,7.7459666924,0,3
03SS,CasDec&TreMic,Hetero.diff,18,Trema_micrantha,200,10,341.33333,68.9975,458.23529411765,38.186274509804,11,0.9166666666667,1.6923076923077,22,1.8333333333333,2,5.8357849212,4.2484595271,3.1622776602,3.6683265454,3
03SS,CasSyl,Intra,2,Casearia_sylvestris,50,70,126.66667,47.635,300,12.5,0,0,6.9,69,2.875,1,4.8494227008,3.8843434363,8.3666002653,2.6026896854,1
