Site,Treatment,Plant Species,phylo_dist,Label,Data
1JM1,CelIguTreMic,TreMic,134.3,herbivore,0
1JM1,CelIguTreMic,TreMic,134.3,phloem_feeder,4
1JM1,CelIguTreMic,TreMic,134.3,pollinator,0
1JM1,CelIguTreMic,TreMic,134.3,predator,0
2JM2,AcnArb,AcnArb,0,ant,1
2JM2,AcnArb,AcnArb,0,herbivore,2
2JM2,AcnArb,AcnArb,0,phloem_feeder,3
2JM2,AcnArb,AcnArb,0,pollinator,0
2JM2,AcnArb,AcnArb,0,predator,1
2JM2,AcnArbCapBac,AcnArb,35.1,ant,1
2JM2,AcnArbCapBac,AcnArb,35.1,herbivore,1
2JM2,AcnArbCapBac,AcnArb,35.1,phloem_feeder,0
2JM2,AcnArbCapBac,AcnArb,35.1,pollinator,0
2JM2,AcnArbCapBac,AcnArb,35.1,predator,0
2JM2,AcnArbCapBac,CapBac,35.1,ant,0
2JM2,AcnArbCapBac,CapBac,35.1,herbivore,0
2JM2,AcnArbCapBac,CapBac,35.1,phloem_feeder,1
2JM2,AcnArbCapBac,CapBac,35.1,pollinator,0
2JM2,AcnArbCapBac,CapBac,35.1,predator,1
2JM2,AcnArbCasDec,AcnArb,247.5,ant,1
2JM2,AcnArbCasDec,AcnArb,247.5,herbivore,0
2JM2,AcnArbCasDec,AcnArb,247.5,phloem_feeder,1
2JM2,AcnArbCasDec,AcnArb,247.5,pollinator,0
2JM2,AcnArbCasDec,AcnArb,247.5,predator,0
2JM2,AcnArbCasDec,CasDec,247.5,ant,0
2JM2,AcnArbCasDec,CasDec,247.5,herbivore,0
2JM2,AcnArbCasDec,CasDec,247.5,phloem_feeder,0
2JM2,AcnArbCasDec,CasDec,247.5,pollinator,0
2JM2,AcnArbCasDec,CasDec,247.5,predator,1
2JM2,AcnArbCasSyl,AcnArb,247.5,ant,2
2JM2,AcnArbCasSyl,AcnArb,247.5,herbivore,1
2JM2,AcnArbCasSyl,AcnArb,247.5,phloem_feeder,2
2JM2,AcnArbCasSyl,AcnArb,247.5,pollinator,0
2JM2,AcnArbCasSyl,AcnArb,247.5,predator,2
2JM2,AcnArbCasSyl,CasSyl,247.5,ant,1
2JM2,AcnArbCasSyl,CasSyl,247.5,herbivore,0
2JM2,AcnArbCasSyl,CasSyl,247.5,phloem_feeder,1
2JM2,AcnArbCasSyl,CasSyl,247.5,pollinator,0
2JM2,AcnArbCasSyl,CasSyl,247.5,predator,0
2JM2,AcnArbCelIgu,AcnArb,247.5,ant,0
2JM2,AcnArbCelIgu,AcnArb,247.5,herbivore,1
2JM2,AcnArbCelIgu,AcnArb,247.5,phloem_feeder,2
2JM2,AcnArbCelIgu,AcnArb,247.5,pollinator,0
