site,Treatment,plant_sp,plant_id,Treat2,branching,avg.dbh.mm
04AJ,CapBac&CasDec,Casearia_decandra,CasDec89a,Hetero.diff,1,135.125504
04AJ,CapBac&CasDec,Casearia_decandra,CasDec90a,Hetero.diff,1,142.4311065
04AJ,CapBac&CasDec,Casearia_decandra,CasDec91a,Hetero.diff,1,164.591264
04AJ,CapBac&CasSyl,Capsicum_baccatum,CapBac71p,Hetero.diff,1,1894.027904
04AJ,CapBac&CasSyl,Capsicum_baccatum,CapBac72p,Hetero.diff,1,
04AJ,CapBac&CasSyl,Capsicum_baccatum,CapBac73p,Hetero.diff,1,
04AJ,CapBac&CasSyl,Capsicum_baccatum,CapBac74p,Hetero.diff,1,
04AJ,CapBac&CasSyl,Casearia_sylvestris,CasSyl75p,Hetero.diff,2,108.206912
04AJ,CapBac&CasSyl,Casearia_sylvestris,CasSyl76p,Hetero.diff,1,1968.785024
04AJ,CapBac&CasSyl,Casearia_sylvestris,CasSyl77p,Hetero.diff,3,146.499055
04AJ,CapBac&CasSyl,Casearia_sylvestris,CasSyl78p,Hetero.diff,2,237.4917805
04AJ,CapBac&CelIgu,Capsicum_baccatum,CapBac75p,Hetero.diff,1,
04AJ,CapBac&CelIgu,Capsicum_baccatum,CapBac76p,Hetero.diff,1,
04AJ,CapBac&CelIgu,Capsicum_baccatum,CapBac77p,Hetero.diff,1,
04AJ,CapBac&CelIgu,Capsicum_baccatum,CapBac78p,Hetero.diff,1,
04AJ,CapBac&CelIgu,Celtis_iguanaea,CelIgu47p,Hetero.diff,1,302.4894665
04AJ,CapBac&CelIgu,Celtis_iguanaea,CelIgu48p,Hetero.diff,1,168.708746
04AJ,CapBac&CelIgu,Celtis_iguanaea,CelIgu49p,Hetero.diff,1,363.2038785
04AJ,CapBac&CelIgu,Celtis_iguanaea,CelIgu50p,Hetero.diff,1,343.2240585
04AJ,CapBac&TreMic,Capsicum_baccatum,CapBac70a,Hetero.diff,1,443.162016
04AJ,CapBac&TreMic,Trema_micrantha,TreMic85a,Hetero.diff,1,109.674234
04AJ,CapBac&TreMic,Trema_micrantha,TreMic86a,Hetero.diff,1,299.4154065
